Restaurant_Name,Governorate,District,Address_Details,Phone
اسماك اليوم,الجيزة.,فيصل,بلوك 28أ - ش العشرين,N/A
اسماك اليوم,الجيزة.,فيصل,24 ش عبيدة بن الجراح,N/A
اسماك اليوم الجديد,القاهرة.,المرج الجديدة,1 ش البترول,N/A
اسماك اليوم الجديد,الجيزة.,الدقى,105 ش التحرير,N/A
اسماك امير,القاهرة.,البساتين,33 ش غرب السكة الحديد,N/A
اسماك اميرة البحر,القاهرة.,المعصرة,ش الرشاح,N/A
اسماك انس,الجيزة.,المهندسين,1 ميدان موسى جلال,N/A
اسماك اولاد ابو رفاعى,الجيزة.,البدرشين,61 ش النيل السعيد,N/A
اسماك اولاد الحورانى,الجيزة.,فيصل,ش المساكن,N/A
اسماك اولاد عزوز,الجيزة.,بولاق الدكرور,48 ش ترعة عبد العال 2 - صفط اللبن,N/A
اسماك اولاد عم جمعة,الجيزة.,امبابة,2 ش عبده الزيان متفرع من ش البصراوى - المنيرة الشرقية,N/A
اسماك بحرى,القاهرة.,المعادى,"ش السد العالى, حدائق المعادى",N/A
اسماك بحرى,القاهرة.,مدينة قباء,11 ش ابراهيم الخليل,N/A
اسماك بحرى,القاهرة.,عين شمس الشرقية,ش العشرين تقاطع ش محمد عباس,N/A
اسماك بحرى,القاهرة.,المقطم,1 ش 11,N/A
اسماك بحرى,الساحل الشمالى. جميع الفروع❯,طريق اسكندرية مطروح الصحراوى,كم 79 -,N/A
اسماك بحرى,الجيزة.,الوراق,5 ش ترعة السواحل - وراق العرب,N/A
اسماك بحرى,الجيزة.,فيصل,ش السادات,N/A
اسماك بحرى,الجيزة.,امبابة,34 ش محمود عبد العزيز - المنيرة الغربية,N/A
اسماك بحرى,الجيزة.,البدرشين,9 ش عمرو بن العاص,N/A
اسماك بحرى,الاسماعيلية.,جبل مريم,طريق البلاجات,N/A
اسماك بحرى,الغربية.,طنطا,"ش حسن رضوان, برج الايمان",N/A
اسماك بحرية,القاهرة.,القاهرة الجديدة,"الحى الثانى - المنطقة الخامسة, التجمع الخامس",N/A
اسماك بحرية,الجيزة.,الهرم,"7 ش سيدى عمار, العمرانية الشرقية",N/A
اسماك بحرية,الجيزة.,الهرم,"8 ش سيدى عمار, العمرانية الغربية",N/A
اسماك بحيرة قارون,الجيزة.,السادس من اكتوبر,"., الحى 12",N/A
اسماك بحيرة قارون,الجيزة.,السادس من اكتوبر,"., الحى 11",N/A
اسماك بدر الخورانى,الجيزة.,فيصل,43 ش احمد ماهر,N/A
اسماك براكودا,بنى سويف.,بنى سويف,حى الزهور,N/A
اسماك برغش,الساحل الشمالى. جميع الفروع❯,مارينا,", منطقة سى جل - مارينا 2",N/A
اسماك بلبل,القاهرة.,المنيل,96 ش المنيل,N/A
اسماك بلدنا,الجيزة.,الجيزة,ش سعد زغلول,N/A
اسماك بندق,الاسكندرية.,سموحة,ش النصر,N/A
اسماك بورسعيد,القاهرة.,شبرا,20 ش ابو طاقية,N/A
اسماك بورسعيد,الجيزة.,بولاق الدكرور,ش ناهية,N/A
اسماك بورسعيد,الجيزة.,امبابة,"37 ش الكمال, تقاطع ش ترعة السواحل",N/A
اسماك بيتشو,القاهرة.,المعادى,"51 عمارات بيتشو امريكان سيتى, المرحلة الاولى, زهراء المعادى",N/A
اسماك تبارك,القاهرة.,مدينة نصر,35 ش اسماعيل اللبان,N/A
اسماك تبارك,القاهرة.,الزيتون,ش محمد العتريس,N/A
اسماك تبارك,القاهرة.,مصر الجديدة,"15 ش الصومال, الكوربة",N/A
اسماك تبارك,القاهرة.,حلوان,"7 ش د. زكى حواس, تقاطع ش صالح صبحى",N/A
اسماك تبارك,الشرقية.,كفر صقر,ش المستشفى,N/A
اسماك تبارك,القليوبية.,الخصوص,51 ش الخصوص العمومى,N/A
اسماك توتو,الاسكندرية.,العصافرة بحرى,ش بلهارس متفرع من ش جمال عبد الناصر,N/A
اسماك تيبا روز,القاهرة.,مصر الجديدة,"سور دار الدفاع الجوي ش النزهة, ارض الجولف",N/A
اسماك جابر,الجيزة.,فيصل,382 ش فيصل,N/A
اسماك جاردنيا,الجيزة.,الهرم,"198 ب ش العشرين, حدائق الاهرام",N/A
اسماك جحا,القاهرة.,عين شمس الشرقية,103 ش ابراهيم عبد الرازق,N/A
اسماك جزيرة الملكة,الاسكندرية.,بحرى,46 ش صفر باشا,N/A
اسماك جمبرينو,القاهرة.,المعادى,"12 ابراج بدر الطريق الدائرى, زهراء المعادى",N/A
اسماك جمبرينو ايه اند ام,الجيزة. جميع الفروع❯,الدقى,11 ش المساحة,N/A
اسماك جندوفلى العالمية,الاسكندرية.,سيدى بشر,79 ش خالد بن الوليد,N/A
اسماك جودى,الجيزة.,الهرم,"12 ش جمال الدين الافغانى, العمرانية الغربية",N/A
اسماك جومانا,الساحل الشمالى.,مارينا,السوق التجارى - المنطقة السابعة - مارينا 1,N/A
اسماك جوهرة الطالبية,الجيزة.,الهرم,"11 ش عثمان محرم, الطالبية",N/A
اسماك جوهرة العيسوى,الاسكندرية.,سيدى بشر,ش العيسوى,N/A
اسماك حبيبة وبلال,الجيزة.,فيصل,ش جلال,N/A
اسماك حدائق اكتوبر,الجيزة.,السادس من اكتوبر,", كمباوند بارادايس",N/A
اسماك حربى,الاسكندرية.,البيطاش,ش البيطاش,N/A
اسماك حصان البحر,القاهرة.,مصر الجديدة,52 عمارة اللحيمى - ش احمد زكى ميدان النزهة,N/A
اسماك حلوان,القاهرة.,حلوان,13 ش منصور,N/A
اسماك حمادة,الجيزة.,فيصل,ش العشرين,N/A
اسماك حمو,القاهرة.,مدينة قباء,19 ش ابراهيم الخليلى,N/A
اسماك حمو,القليوبية.,شبرا الخيمة,29 ش 15 مايو,N/A
اسماك حمور,الجيزة.,الجيزة,45 أ ش ربيع الجيزى,N/A
